"curr_state","curr_county","pop"
"California","Los Angeles County","9988370"
"California","San Diego County","3242145"
"California","Orange County","3120911"
"California","Riverside County","2326559"
"California","San Bernardino County","2093573"
"California","Santa Clara County","1888980"
"California","Alameda County","1611086"
"California","Sacramento County","1476301"
"California","Contra Costa County","1112145"
"California","Fresno County","957870"
"California","Kern County","866521"
"California","San Francisco County","855285"
"California","Ventura County","837948"
"California","San Mateo County","755325"
"California","San Joaquin County","714614"
"California","Stanislaus County","527887"
"California","Sonoma County","496452"
"California","Tulare County","451981"
"California","Santa Barbara County","437766"
"California","Solano County","430673"
"California","Monterey County","427228"
"California","Placer County","371370"
"California","San Luis Obispo County","277755"
"California","Santa Cruz County","270260"
"California","Merced County","263624"
"California","Marin County","258452"
"California","Butte County","223187"
"California","Yolo County","210378"
"California","El Dorado County","183162"
"California","Shasta County","177099"
"California","Imperial County","176886"
"California","Madera County","152174"
"California","Kings County","148385"
"California","Napa County","139802"
"California","Humboldt County","133896"
"California","Nevada County","97940"
"California","Sutter County","94296"
"California","Mendocino County","86639"
"California","Yuba County","73487"
"California","Lake County","63510"
"California","Tehama County","62435"
"California","San Benito County","57807"
"California","Tuolumne County","53666"
"California","Calaveras County","44764"
"California","Siskiyou County","43104"
"California","Amador County","36983"
"California","Lassen County","31105"
"California","Glenn County","27571"
"California","Del Norte County","27033"
"California","Colusa County","21229"
"California","Plumas County","18637"
"California","Inyo County","18019"
"California","Mariposa County","17485"
"California","Mono County","13969"
"California","Trinity County","12968"
"California","Modoc County","8951"
"California","Sierra County","2852"
"California","Alpine County","1201"
